Sample_ID,District,Agro_Zone,Season,Soil_pH,Total_N_percent,Available_P_mgkg,Available_K_mgkg,Organic_Carbon_percent,Rainfall_30d_mm,Temperature_mean_C,Recommended_N_kg_ha,Recommended_P2O5_kg_ha,Recommended_K2O_kg_ha,Urea_kg_ha,TSP_kg_ha,MOP_kg_ha
9005,Batticaloa,Dry,Yala,,0.121,5,117.1,0.74,90.4,28.3,120,60,20,266,135.5,33.4
9006,Ampara,Dry,Yala,5.76,0.13,5.7,68.7,0.57,,,120,60,40,254.7,129.3,68.6
9007,Matara,Wet,Yala,5.31,0.097,6.3,102.3,2.4,314.2,25.9,130,60,20,274.2,134.8,33.3
9008,Kalutara,Wet,Maha,4.99,0.05,7.6,99.6,2.41,342.9,25.4,130,60,40,285.9,134,68.3
9009,Kurunegala,Intermediate,Yala,6.52,0.072,8.5,66.4,1.71,117.8,26.5,130,60,40,282.5,123.3,65.3
9010,Ratnapura,Wet,Yala,5.2,0.137,8.4,89.2,2.56,371.3,26.5,120,60,40,264,123.4,62
9011,Gampaha,Wet,Maha,5.03,0.063,10.4,86.4,2.94,276.7,24.1,130,40,40,273.6,90.3,71.4
9012,Hambantota,Dry,Yala,6,0.182,8.9,118.9,1.1,38.1,31.8,100,60,20,213.1,134.7,34.9
9013,Gampaha,Wet,Yala,5.78,0.08,8.8,,1.65,239.6,26.3,130,60,20,265,128,31.2
9014,Ampara,Dry,Maha,7.24,0.168,12.4,90.3,0.52,296.5,30.5,100,40,40,202.8,81.5,66.2
9015,Kilinochchi,Dry,Yala,6.4,0.197,12.8,81.6,1.09,73.5,28.9,100,40,40,209.4,80.6,68.1
9016,Ratnapura,Wet,Yala,4.7,0.129,8.5,64.2,2.01,377.6,26.8,120,60,40,244.2,126.3,63.6
9017,Kilinochchi,Dry,Maha,7.15,0.17,8.6,59.6,0.89,149.2,29.3,100,60,60,204.5,120.8,101.2
9018,Ampara,Dry,Maha,6.28,0.197,9.7,,0.66,198.2,28.1,100,60,60,227.6,125.1,100.5
9019,Trincomalee,Dry,Yala,6.58,0.128,14.8,53.7,0.76,73.8,31.5,120,40,60,242.9,85.9,95.6
9020,Ampara,Dry,Yala,6.59,0.169,8.9,92.2,1.29,25.6,28.1,100,60,40,222.6,123,63.1
9021,Gampaha,Wet,Yala,5.86,0.055,11.8,99.1,2.86,397.2,27.4,130,40,40,273,81.8,69.3
9022,Nuwara Eliya,Wet,Yala,5.68,0.158,10.7,83,,282,27.9,100,40,40,229.5,92.2,64.9
9023,Mullaitivu,Dry,Maha,5.84,0.138,13.7,47.2,0.8,252.2,29.7,120,40,60,260.3,88.1,96.2
9024,Puttalam,Dry,Yala,5.93,0.096,5.4,42.5,1.23,82.7,28.8,130,60,60,274.4,138.9,103.6
9025,Monaragala,Intermediate,Yala,,0.096,13.8,93.6,1.27,210.6,26.1,130,40,40,283.3,85,69.1
9026,Mullaitivu,Dry,Maha,6.44,0.158,14.7,,0.6,248.3,28.3,100,40,60,213.6,89.3,96.6
9027,Monaragala,Intermediate,Yala,6.78,0.058,15.1,75.2,1.42,139.8,27.2,130,20,40,285.3,41.6,70.4
9028,Mannar,Dry,Yala,6.92,0.192,13.7,69.2,1.14,83.8,29.9,100,40,40,204.8,88.5,68.6
9029,Kandy,Wet,Maha,5.83,0.197,11.3,69,2.94,386.3,24.1,100,40,40,233.6,82.2,65.2
9030,Mullaitivu,Dry,Yala,6.75,0.124,5,109.9,0.8,44.2,31.5,120,60,20,258,120.7,32.9
9031,Mannar,Dry,Yala,5.61,0.142,13,73,1.45,64.4,27.7,120,40,40,255,92.6,69
9032,Anuradhapura,Dry,Maha,6.32,0.189,7.1,91.7,0.56,253.8,27.7,100,60,40,224.3,131.5,63.8
9033,Kandy,Wet,Maha,5.04,0.051,10.4,82.8,2.52,253.9,27.3,130,40,40,276.8,92.6,66.4
9034,Monaragala,Intermediate,Maha,5.7,0.063,19.4,94.5,1.69,222.6,29.2,130,20,40,296.7,42.4,68.2
9035,Matara,Wet,Yala,4.53,0.087,6.3,98.2,2.08,351.2,26.9,130,60,40,280.7,127,67.1
9036,Kalutara,Wet,Yala,4.59,0.076,11.4,116.8,1.53,364,27.2,130,40,20,291.9,85.7,33.8
9037,Matale,Intermediate,Maha,5.84,,13.7,82.9,1.47,130.2,29.6,130,40,40,266,89.7,67.2
9038,Kalutara,Wet,Maha,4.78,,10.4,,2.57,214.7,28,100,40,40,228.7,87.9,63.7
9039,Vavuniya,Dry,Yala,7.28,0.091,,82.7,1.46,38.1,31.9,130,60,40,292.6,138.7,65.8
9040,Polonnaruwa,Dry,Yala,6.93,0.173,8.6,93.1,0.95,62.5,30.8,100,60,40,208,121.1,67
9041,Colombo,Wet,Yala,5.82,0.104,8.4,131.1,2.36,256.7,26.4,120,60,20,247,134.5,34.7
9042,Batticaloa,Dry,Maha,6.94,0.064,9.3,91.1,0.9,194.5,27.8,130,60,40,274.8,127.1,68.2
9043,Colombo,Wet,Maha,4.58,0.173,8.1,88.1,2.53,322.9,24,100,60,40,232.9,124.1,66
9044,Polonnaruwa,Dry,Yala,5.86,0.138,11.1,115,1.38,89.1,28,120,40,20,251.4,87.1,35.7
9045,Mannar,Dry,Maha,6.34,0.071,10.1,49.7,0.62,299.4,30.1,130,40,60,280.7,87.1,94.1
9046,Polonnaruwa,Dry,Yala,5.86,0.062,5.6,99.2,1.15,39.8,30.1,130,60,40,262.7,123.3,63.8
9047,Kegalle,Intermediate,Yala,6.04,0.152,5.5,58.6,1.19,232.6,27,100,60,60,214,124.6,97.6
9048,Mannar,Dry,Maha,,0.131,10.2,110.3,0.69,145.6,,120,40,20,263.7,85.8,31.9
9049,Kurunegala,Intermediate,Maha,6.59,,11.5,75.2,1.92,190.6,27.8,100,40,40,232.2,85.8,68
9050,Kalutara,Wet,Maha,5.11,0.158,9.3,99,2.73,325.6,26.5,100,60,40,217.9,126.8,62.1
9051,Galle,Wet,Maha,4.87,0.18,11.5,126.5,1.64,273.2,27.2,100,40,20,227.8,82.4,31.7
9052,Ratnapura,Wet,Yala,5.68,0.176,8.2,72.5,1.95,394.9,25.9,100,60,40,218.9,120.7,64.6
9053,Matale,Intermediate,Maha,5.6,0.082,12.9,110.7,1.26,104.9,28.6,130,40,20,263.1,93.1,34.2
9054,Mannar,Dry,Maha,5.73,0.118,12.9,109.8,1.21,241.7,31.8,120,40,20,253.7,92.8,35.2
9055,Polonnaruwa,Dry,Yala,,0.065,9,82.6,1.36,64.1,31.4,130,60,40,285.8,130.1,69.7
9056,Badulla,Intermediate,Maha,5.62,0.106,18.7,99.5,1.98,178.6,27.7,120,20,40,278.5,46.7,63.5
9057,Monaragala,Intermediate,Maha,6.16,0.191,14.7,67.1,1.42,228,27.8,100,40,40,229.1,89.3,67.4
9058,Badulla,Intermediate,Yala,6.69,0.19,15.1,69.4,1.7,101.3,26,100,20,40,208.5,40.7,62
9059,Ampara,Dry,Maha,6.86,0.162,14.5,110,1.45,259.2,29.2,100,40,20,208.3,82,32.4
9060,Nuwara Eliya,Wet,Maha,4.95,0.111,5.2,109.8,1.72,391.8,27.6,120,60,20,249.2,138.5,34.8
9061,Vavuniya,Dry,Yala,6.27,0.133,8.3,69.9,0.68,74.6,29.7,120,60,40,277.4,132.9,66.3
9062,Badulla,Intermediate,Maha,6.21,0.174,8.9,110.4,1.36,152.1,26.3,100,60,20,228.9,137.1,31.6
9063,Anuradhapura,Dry,Maha,6.48,0.158,8.4,90.2,1.44,201,30.3,100,60,40,226.4,138.2,66.1
9064,Batticaloa,Dry,Yala,6.14,0.098,8.1,87.7,1.31,,29.7,130,60,40,278.1,129.4,63.7
9065,Trincomalee,Dry,Maha,7.48,0.197,5.7,87.2,1.35,252.5,30.8,100,60,40,217.5,121.6,65.6
9066,Trincomalee,Dry,Yala,5.79,0.101,9.1,98.4,1.19,40.6,29.9,120,60,40,259.5,124.3,66.6
9067,Puttalam,Dry,Yala,6.24,0.081,12.3,84.4,1.16,25,28.3,130,40,40,272.1,81.3,65.2
9068,Ampara,Dry,Yala,6.89,0.196,9.2,111,0.74,64.7,27.2,100,60,20,217.6,124.3,35.5
9069,Matale,Intermediate,Maha,5.39,0.105,6.4,129.9,1.81,121.4,26.8,120,60,20,242.5,128.7,33.6
9070,Jaffna,Dry,Maha,6.01,0.155,13.7,55.5,1.19,198.7,31.7,100,40,60,205.4,82,105.1
9071,Kilinochchi,Dry,Yala,6.78,,5.5,97.3,1.1,73.7,30.4,120,60,40,276,123.9,69.3
9072,Jaffna,Dry,Yala,5.51,0.191,12.1,96.5,1.03,,27.8,100,40,40,225.6,86.3,68.3
9073,Jaffna,Dry,Yala,5.83,0.071,6.2,88.1,0.57,76.6,31.8,130,60,40,279.3,127.3,66.7
9074,Nuwara Eliya,Wet,Yala,5.6,0.097,11,130.6,1.71,340.8,27.3,130,40,20,283.3,86.6,30.8
9075,Kegalle,Intermediate,Yala,5.96,0.066,9.8,,1.18,219.6,28.9,130,60,40,277.1,129,67.8
9076,Jaffna,Dry,Maha,,0.059,10.4,115.2,0.51,177.2,31.1,130,40,20,292.8,88.9,32.6
9077,Kurunegala,Intermediate,Maha,6.3,0.198,16,116.6,1.61,140.8,27.1,100,20,20,226.7,46.4,31.4
9078,Vavuniya,Dry,Yala,6.07,0.052,13.9,75.9,1,72.5,,130,40,40,293.8,81.9,66.1
9079,Ratnapura,Wet,Maha,5.44,0.176,11.5,100.5,2.31,355.2,25.3,100,40,20,224.7,81.8,34.5
9080,Polonnaruwa,Dry,Yala,6.11,0.149,8.9,95.4,0.66,41.6,28.8,120,60,40,249.3,137.3,71.3
9081,Vavuniya,Dry,Yala,5.58,0.091,9.1,80.9,0.81,32,30.2,130,60,40,275.7,130.5,65.4
9082,Matale,Intermediate,Yala,5.85,0.163,,64.4,1.06,237.6,26.4,100,20,40,216.4,45.2,67.1
9083,Mannar,Dry,Yala,6.65,0.105,8.9,85.1,1.06,46.2,30.1,120,60,40,254.3,124.8,70.2
9084,Batticaloa,Dry,Maha,6.65,0.101,10.9,106.6,1.11,291.9,28.5,120,40,20,270.9,91.3,32.5
9085,Nuwara Eliya,Wet,Maha,5.81,0.083,10,122.1,2.02,201.9,26.2,130,40,20,275.4,92.5,31.5
9086,Mullaitivu,Dry,Maha,7.48,0.194,6.3,110.3,0.85,219.5,30.2,100,60,20,205.6,133.1,32.2
9087,Kandy,Wet,Yala,5.69,0.13,10.9,148.8,1.57,266.3,27.8,120,40,20,256.9,81.9,35.3
9088,Kandy,Wet,Yala,4.68,0.14,9.7,66.3,2.61,285.1,24.8,120,60,40,279.7,138.1,63.3
9089,Kurunegala,Intermediate,Yala,5.51,0.056,9.5,79.6,1.62,221.6,27.3,130,60,40,271,136.1,65
9090,Colombo,Wet,Yala,5.31,0.072,9.2,116.4,2.86,231.3,26.7,130,60,20,287.4,135.3,33.1
9091,Monaragala,Intermediate,Yala,5.77,0.102,14.6,63,1.35,108.9,27.1,120,40,40,258.3,81,70.2
9092,Jaffna,Dry,Yala,7.49,0.192,10.5,86.7,0.96,50.9,28.2,100,40,40,203.4,90.9,71.1
9093,Kalutara,Wet,Maha,5.34,0.085,6.9,69.6,,340.3,26.4,130,60,40,282.1,123.3,66
9094,Nuwara Eliya,Wet,Yala,5.83,0.197,10.8,76.9,2.92,289,27.5,100,40,40,224,83.4,71
9095,Kandy,Wet,Maha,5.19,0.169,7.8,120.7,2.22,284.4,27.4,100,60,20,217.8,131.9,31.6
9096,Matale,Intermediate,Maha,5.92,0.068,14.7,57.3,1.23,204.6,26.6,130,40,60,298.4,83.9,94.9
9097,Ratnapura,Wet,Yala,4.51,0.15,8.8,84.4,2.68,370.7,26.2,100,60,40,210.5,133.6,71.2
9098,Vavuniya,Dry,Yala,6.08,0.148,7.8,40.3,1.46,92.6,29.9,120,60,60,244.7,132.5,100.1
9099,Kandy,Wet,Yala,5.15,,11.7,107.1,2.8,394.1,27.9,100,40,20,231.6,81.9,31.7
9100,Matale,Intermediate,Yala,5.62,,,127.2,1.7,125.8,28.5,100,40,20,213.4,89,33.2
9101,Kandy,Wet,Maha,4.68,0.097,,89.3,1.88,306.3,26.2,130,40,40,285.8,92.5,69.5
9102,Colombo,Wet,Maha,5,0.197,7.8,109.3,2.72,312.6,24.9,100,60,20,226.9,123.8,34.9
9103,Trincomalee,Dry,Yala,6.48,0.087,13.1,,0.97,97.8,27.2,130,40,40,275.2,88.3,70.3
9104,Batticaloa,Dry,Yala,6.06,0.173,6.2,60.8,1.15,34,30.7,100,60,40,224.4,127.3,67.4
9105,Puttalam,Dry,Maha,6.92,0.176,5.3,80.7,1.32,279.1,,100,60,40,205.5,129.6,70.4
9106,Puttalam,Dry,Yala,6.65,0.107,9.3,42.4,0.69,32.6,27.5,120,60,60,252.7,126.2,100.2
9107,Polonnaruwa,Dry,Yala,6.3,0.145,10.8,53.1,0.85,54.3,29.7,120,40,60,247,85.1,101.6
9108,Matara,Wet,Yala,5.97,0.138,11.7,137.1,,378.1,25.3,120,40,20,273.1,80.9,34.6
9109,Batticaloa,Dry,Yala,6.12,0.165,5.9,55.4,1.22,81.5,29.2,100,60,60,208.4,139.8,98.9
9110,Ampara,Dry,Maha,7.4,0.117,12.2,79.6,1.49,122.7,28.9,120,40,40,269.4,88.6,62.4
9111,Ampara,Dry,Maha,5.8,0.071,5.9,40.9,1.12,149.4,28.6,130,60,60,301.4,130.4,97.8
9112,Matale,Intermediate,Yala,6.2,0.15,7.9,79.8,1.15,156.6,26.5,100,60,40,218.3,128.1,67.9
9113,Mullaitivu,Dry,Maha,6.16,0.099,14.1,65.1,1.49,166,,130,40,40,284.3,87.5,63.6
9114,Kurunegala,Intermediate,Yala,5.47,0.105,6.5,57.1,1.22,154.5,29.4,120,60,60,259.4,128.1,94.7
9115,Monaragala,Intermediate,Maha,5.82,0.178,6,93.9,1.8,115.4,28.3,100,60,40,211.7,127.7,64.6
9116,Galle,Wet,Maha,4.63,0.133,11.5,96.8,2.38,230.8,26.1,120,40,40,259.9,86.5,62
9117,Colombo,Wet,Maha,4.95,0.104,8.7,88.7,1.88,278.8,25.1,120,60,40,264.9,126,69.1
9118,Monaragala,Intermediate,Yala,6.15,0.105,13.7,54.8,1.66,205,28.7,120,40,60,279.9,82.8,96.4
9119,Polonnaruwa,Dry,Maha,7.32,0.05,9.5,90.5,1.15,294.5,28.4,130,60,40,301.2,131.5,62.9
9120,Matale,Intermediate,Maha,6.62,0.11,17.9,61.1,1.15,,28.4,120,20,40,275.1,45.7,68.7
9121,Anuradhapura,Dry,Maha,6.41,0.15,12.4,64.4,1.16,150.1,27.8,100,40,40,230.1,82.5,70.1
9122,Jaffna,Dry,Yala,5.7,0.146,14.8,58.5,0.51,31.8,29,120,40,60,259.6,80.9,92.8
9123,Monaragala,Intermediate,Maha,,,13.1,85.5,1.32,116.8,26.7,130,40,40,289.3,83.7,64
9124,Mannar,Dry,Yala,6.64,0.051,8.7,104.2,1.1,69.3,,130,60,20,299.3,139.8,35.5
9125,Ampara,Dry,Maha,6.27,0.157,6.1,,0.71,140.8,30.3,100,60,20,213.9,136.8,32.7
9126,Kegalle,Intermediate,Maha,,0.113,10.7,,1.43,177.1,29.3,120,40,60,279,88.3,106.6
9127,Kandy,Wet,Maha,5.75,0.172,9.9,81.4,1.65,385.2,27.1,100,60,40,214.7,138.8,64.4
9128,Badulla,Intermediate,Yala,5.51,0.158,10.9,83.5,1.14,109.2,27.9,100,40,40,220.7,86.3,63.9
9129,Matara,Wet,Yala,4.81,0.181,5.2,107.5,2.48,247.7,25.2,100,60,20,224.2,139.9,31.9
9130,Kalutara,Wet,Maha,5.54,0.169,10.8,128.4,2.6,359.7,24.7,100,40,20,232.1,84.3,31.2
9131,Puttalam,Dry,Maha,7.34,0.199,13.7,45.9,1.47,237.3,27.8,100,40,60,209.1,83.6,105.9
9132,Puttalam,Dry,Yala,5.66,,10.5,60.4,0.58,75.1,31.2,130,40,40,293,88.8,71.5
9133,Gampaha,Wet,Maha,5.11,0.1,9.4,149.7,2.01,335.8,26.1,120,60,20,261.7,128,35.6
9134,Trincomalee,Dry,Yala,5.96,0.058,6.3,77.9,,67.5,29.2,130,60,40,272.8,132.9,70.2
9135,Mullaitivu,Dry,Yala,6.07,0.173,7,99.6,1.49,64.7,30.1,100,60,40,226.4,126.6,70.2
9136,Kegalle,Intermediate,Maha,5.39,0.16,7.9,65.1,1.12,235.4,26.3,100,60,40,219.1,132.7,68.3
9137,Gampaha,Wet,Yala,5.91,0.138,10.5,103.2,,346.4,25.8,120,40,20,267.2,84.1,34.9
9138,Kurunegala,Intermediate,Maha,5.65,0.051,19,53.9,1.56,171.7,28.3,130,20,60,275.1,40.6,95.6
9139,Galle,Wet,Yala,5.67,0.089,8.5,63.7,2.71,370.3,27,130,60,40,281.8,138.5,65.6
9140,Matale,Intermediate,Yala,6.72,0.135,12.1,117.4,1.43,221.5,29.2,120,40,20,265.5,92,34
9141,Ratnapura,Wet,Maha,4.93,0.151,8.3,111.2,1.8,368.2,28,100,60,20,214.3,139.6,35.2
9142,Kandy,Wet,Yala,5.41,0.193,10,70.6,2.42,253.4,27.6,100,40,40,207.6,89.8,68.3
9143,Batticaloa,Dry,Yala,7.23,0.08,9,91,1.34,38.9,30.4,130,60,40,302.2,134,70.1
9144,Colombo,Wet,Yala,5.34,0.135,6.3,98.2,,237.6,27.7,120,60,40,261.3,131.6,66.4
9145,Ampara,Dry,Maha,6.97,0.116,14.9,110.3,1.06,186.8,27.3,120,40,20,270.1,82.1,34.4
9146,Vavuniya,Dry,Maha,6.62,0.061,5.8,88.5,1.14,168.1,29.2,130,60,40,278.8,124.3,71.5
9147,Hambantota,Dry,Maha,6.46,0.068,10.7,89.5,0.98,276.5,29.5,130,40,40,276.5,84.3,63.2
9148,Matale,Intermediate,Yala,5.22,0.179,,109.4,1.65,138,29.6,100,20,20,214.4,46,35.4
9149,Kegalle,Intermediate,Maha,6.11,0.197,15.5,124.6,1.76,159.2,27.4,100,20,20,214.4,41.4,33.4
9150,Galle,Wet,Maha,5.19,0.13,7.7,145.9,2.34,360,26.7,120,60,20,262.6,138.7,34
9151,Trincomalee,Dry,Yala,,0.171,13.2,100.1,0.93,72.9,30.5,100,40,20,218.8,87.3,35.2
9152,Kilinochchi,Dry,Yala,7.23,0.15,11,83.1,0.89,64.9,31.5,100,40,40,217.3,89.8,65.8
9153,Anuradhapura,Dry,Yala,6.94,0.096,12.2,54.2,1.04,68.8,28.9,130,40,60,267.1,81.9,98.8
9154,Vavuniya,Dry,Yala,6.72,0.157,9,115.6,0.72,79.7,27.5,100,60,20,217.3,125.9,33.4
9155,Anuradhapura,Dry,Yala,6.87,0.178,14.7,76.2,1.18,90.5,31.6,100,40,40,206.6,93,61.9
9156,Kalutara,Wet,Maha,4.72,0.165,8,106.4,1.73,354.7,27.8,100,60,20,205.2,125.8,33.3
9157,Kurunegala,Intermediate,Maha,,0.088,16.6,,1.89,225.2,29.5,130,20,60,300.9,42.2,96.9
9158,Kandy,Wet,Maha,5.84,0.175,,81,2.35,331.7,,100,60,40,220.8,124.5,71
9159,Vavuniya,Dry,Maha,7.15,0.16,13.6,52,1.06,291.7,29.2,100,40,60,222.6,82.2,93.8
9160,Kurunegala,Intermediate,Yala,5.2,0.104,14.6,84,1.86,140,26.3,120,40,40,257.1,83.5,66.3
9161,Mannar,Dry,Maha,6.73,,15,50.9,1.29,177.8,27.4,100,20,60,230.7,44.4,106.7
9162,Nuwara Eliya,Wet,Maha,5.65,0.085,6.8,143.8,1.55,240.1,27.2,130,60,20,288.4,129.5,35.3
9163,Mannar,Dry,Maha,5.58,0.127,14.9,65.5,0.59,195.8,30.7,120,40,40,271.4,87.7,68.7
9164,Polonnaruwa,Dry,Maha,6.81,0.119,7,,1.37,274.6,29.2,120,60,40,255.8,123,67.6
9165,Matara,Wet,Maha,4.82,0.175,5.8,100.9,1.53,313.1,26,100,60,20,232.4,136.3,32.2
9166,Colombo,Wet,Maha,4.91,0.097,11.9,141.4,2.06,301.9,,130,40,20,296.2,90.7,32.6
9167,Kandy,Wet,Maha,4.95,0.177,7.1,100.8,2.05,340.2,27.5,100,60,20,228.9,121,31.3
9168,Kalutara,Wet,Yala,4.97,0.109,7.6,78.4,1.6,217.5,24.5,120,60,40,248.1,128.1,69.6
9169,Kegalle,Intermediate,Maha,5.84,0.065,5.4,74.8,1.45,109.1,27.7,130,60,40,272.9,122,64.9
9170,Vavuniya,Dry,Maha,6.49,0.069,14.4,,1.3,162.3,28.7,130,40,60,273.5,90.8,102.5
9171,Mannar,Dry,Yala,6.11,0.112,10.9,82.5,0.56,90.2,27.4,120,40,40,251.9,90.1,65.3
9172,Batticaloa,Dry,Yala,5.92,0.118,5.8,49.8,1.17,42.2,28.4,120,60,60,274.8,138.3,99.5
9173,Kilinochchi,Dry,Maha,6.06,0.077,13.1,115.5,0.64,175.9,28.5,130,40,20,262.8,83.6,33.6
9174,Trincomalee,Dry,Maha,6.88,0.143,12.1,57.1,0.56,150,28.9,120,40,60,244.3,86.4,104.5
9175,Mullaitivu,Dry,Yala,6.66,0.156,12.3,111.7,1.35,88.2,29.4,100,40,20,210,82.9,31.9
9176,Colombo,Wet,Yala,5.9,0.183,6.6,,2.63,281.4,27.2,100,60,40,207.6,127.9,65.7
9177,Anuradhapura,Dry,Maha,6.2,0.07,10.5,54.4,0.76,249,30.7,130,40,60,271.2,87.3,94.5
9178,Batticaloa,Dry,Yala,6.79,0.155,10.4,113.8,1.24,59.2,29.2,100,40,20,227.1,81.2,31.2
9179,Hambantota,Dry,Maha,5.84,0.119,7.5,84.9,0.83,223.8,29.8,120,60,40,263.4,134.6,67.7
9180,Ampara,Dry,Yala,6.36,,7.9,65.5,0.87,20.6,30.1,100,60,40,201.3,131.2,63.6
9181,Jaffna,Dry,Yala,5.79,0.146,7.8,53.4,0.88,36.1,30.3,120,60,60,258.1,136.8,93.4
9182,Kandy,Wet,Yala,,0.063,11.9,84.5,2.85,376.1,24.9,130,40,40,278.7,84,70.7
9183,Batticaloa,Dry,Maha,7.29,0.136,7.2,71.5,0.72,293,27.4,120,60,40,245.8,138.3,67
9184,Kandy,Wet,Maha,5.33,0.066,10.1,61.4,1.94,227.6,25.6,130,40,40,290.1,93.5,63
9185,Polonnaruwa,Dry,Maha,6.22,0.074,14,43.4,0.63,173.6,31,130,40,60,291.2,92.5,93.3
9186,Matara,Wet,Yala,,0.184,11.2,71.4,1.74,391.5,26.7,100,40,40,224.6,90.6,62.9
9187,Mannar,Dry,Maha,6.18,0.138,10,43.1,1.09,281.9,29,120,40,60,269.8,91.1,99.6
9188,Ratnapura,Wet,Maha,4.51,0.065,6.6,61.9,1.67,317,25.1,130,60,40,261.4,131.8,68.4
9189,Mannar,Dry,Yala,6.45,0.154,6.4,91.3,0.53,65.6,31.7,100,60,40,232.2,124.3,68.1
9190,Galle,Wet,Maha,5.92,0.168,9.4,74.3,2.58,256.7,27.8,100,60,40,227.6,133.9,63.1
9191,Polonnaruwa,Dry,Yala,7.19,0.131,11.7,117.4,1.32,30.5,31.6,120,40,20,276.7,89.8,34
9192,Kandy,Wet,Yala,5.46,0.174,5.6,,1.9,341.4,24.1,100,60,20,201.6,139.9,32.8
9193,Monaragala,Intermediate,Yala,6.48,0.193,9.6,103.7,1.59,238.5,27.7,100,60,20,231.5,131.2,33.1
9194,Colombo,Wet,Yala,4.89,0.087,9.3,133.9,2.56,384.8,25.1,130,60,20,295.7,125.9,34.8
9195,Colombo,Wet,Yala,5.91,0.111,10.3,104,2.05,288.5,25.1,120,40,20,274.1,89.4,32.5
9196,Kalutara,Wet,Yala,5.49,0.061,5.5,122.8,2.53,394,27.5,130,60,20,265.4,139.8,31.5
9197,Galle,Wet,Maha,5.52,0.138,6.4,108.6,1.8,340.5,27.3,120,60,20,270.2,124.1,35.2
9198,Monaragala,Intermediate,Maha,5.37,0.172,8.6,86.2,1.96,146.5,26,100,60,40,232.4,127,63.8
9199,Puttalam,Dry,Maha,6.24,0.143,5.4,108.5,1.45,172.7,28.2,120,60,20,267.9,131.2,32.3
9200,Kilinochchi,Dry,Maha,7.09,0.09,12.3,69.8,1.39,225.9,28.2,130,40,40,285.6,82.7,68.8
9201,Mullaitivu,Dry,Yala,7.19,0.154,10.7,,1.23,26.6,27.1,100,40,40,231.9,80.8,68.5
9202,Puttalam,Dry,Yala,6.5,0.087,15,62.5,1.47,98.8,28.1,130,20,40,280.2,42.4,69.7
9203,Kegalle,Intermediate,Maha,5.34,0.199,14.4,114.4,1.6,161.3,28.5,100,40,20,220.6,91.8,31.7
9204,Polonnaruwa,Dry,Yala,6.35,0.118,10,98,0.73,65.9,28.8,120,40,40,260,81,65.2
9205,Jaffna,Dry,Maha,7.25,0.103,11.1,70.6,1.46,237.9,27.2,120,40,40,277.8,86.1,63
9206,Colombo,Wet,Yala,4.62,0.167,11.8,71.3,2.6,219.5,24.7,100,40,40,203.6,90.4,67.1
9207,Kurunegala,Intermediate,Maha,,0.051,9.2,79.2,1.73,209.1,29.9,130,60,40,282.6,139.3,64.6
9208,Nuwara Eliya,Wet,Maha,5.82,,11,,2.3,347.7,26.8,130,40,20,290.5,93.3,34.2
9209,Anuradhapura,Dry,Yala,6.67,0.172,7,95,0.98,45.4,27.3,100,60,40,226.9,128.9,61.7
9210,Kandy,Wet,Maha,5.64,0.152,7.8,127.6,2.89,213.4,27.6,100,60,20,220.1,139.2,31.1
9211,Batticaloa,Dry,Yala,6.69,0.188,13.5,95.4,1.34,26.7,29.8,100,40,40,230.7,80.9,66
9212,Mannar,Dry,Maha,7.3,0.106,6.9,41.6,1.33,226.6,31.4,120,60,60,278.2,135.2,106.9
9213,Mullaitivu,Dry,Maha,6.83,0.112,14.4,58,0.91,182.1,27.2,120,40,60,243.8,88.9,105.9
9214,Ratnapura,Wet,Maha,5.47,0.135,10.4,115.1,1.99,233.2,26.2,120,40,20,257.1,83.7,35.8
9215,Matale,Intermediate,Yala,5.68,0.068,5.2,106.2,1.27,213.9,26.3,130,60,20,262.4,130.5,32.9
9216,Matale,Intermediate,Yala,6.37,0.071,8.4,125.5,1.49,,,130,60,20,275.4,123.2,31
9217,Batticaloa,Dry,Maha,7.17,0.065,14,69.2,0.93,193,31.4,130,40,40,284.2,91.8,64.8
9218,Hambantota,Dry,Yala,7.48,0.122,14.6,53.4,1.47,64.8,29.4,120,40,60,277,85.1,102.6
9219,Matara,Wet,Maha,5.93,0.093,8.8,126.5,1.6,391.1,26.8,130,60,20,297.3,132.9,31.5
9220,Trincomalee,Dry,Yala,6.13,0.183,12.8,50.4,1.03,64.4,29.9,100,40,60,205.3,82.5,97
9221,Colombo,Wet,Maha,5.38,0.086,10,75.4,2.89,283.3,26.3,130,40,40,265.3,83.2,62.3
9222,Batticaloa,Dry,Yala,5.56,0.077,9.6,53.8,0.52,58.2,27.4,130,60,60,286.4,140,99.6
9223,Colombo,Wet,Maha,4.5,0.185,5.4,128.3,2.07,213,27.3,100,60,20,218.4,135.4,31.8
9224,Matara,Wet,Maha,4.52,0.132,9.1,123.8,1.61,249.9,27.1,120,60,20,251.8,139.4,31.3
9225,Galle,Wet,Yala,5.23,0.155,7.4,81.9,1.92,334.3,27.7,100,60,40,230.4,126.4,65.8
9226,Colombo,Wet,Maha,5.22,0.102,11.2,121.5,2.69,208.4,27.9,120,40,20,277.6,82.6,32.6
9227,Jaffna,Dry,Yala,,0.174,13.7,,0.7,74.8,28.7,100,40,20,214.2,87,33.5
9228,Batticaloa,Dry,Yala,6.76,0.075,6.5,54.1,0.95,31.1,29.5,130,60,60,299.1,130.3,103.7
9229,Mullaitivu,Dry,Maha,6.03,0.104,5.8,107.2,1.07,125.6,30.2,120,60,20,256.4,124,31.4
